"V1","V2","V3","V4","V5","V6","V7","V9"
"G234298","Essential","Ubiquitin-system proteins","Intracellular transport complexes","Conditional phenotypes","PS00865","4","?."
"G234161","Non-Essential","Protein Kinases","Cytoskeleton","Cell morphology and organelle mutants","PS00017","3","?."
"G235476","Essential","Ubiquitin-system proteins","Anaphase promoting complex (APC)","Cell cycle defects","PS00183","8","?."
"G235541","Non-Essential","Molecular chaperones","Translocon","Conditional phenotypes","PS00297","10","?."
"G240057","Essential","Cyclins","Cyclin-CDK (Cyclin-dependent kinases) complexes","Cell cycle defects","PS00343","16","?."
"G235081","Non-Essential","ATPases","Intracellular transport complexes","Stress response defects","PS00017","16","?."
"G235369","Non-Essential","Major facilitator superfamily proteins (MFS)","Nuclear pore complex (NPC)","Conditional phenotypes","PS00218","7","?."
"G237337","Non-Essential","Ubiquitin-system proteins","Translocon","Cell morphology and organelle mutants","PS00633","4","?."
"G240200","Non-Essential","Protein Kinases","Cytoskeleton","Mating and sporulation defects","PS00486","16","?."
"G236099","Essential","Transcription factors","Anaphase promoting complex (APC)","Cell cycle defects","PS00017","7","?."
"G234573","Essential","ATPases","Translocon","Sensitivity to aminoacid analogs and other drugs","PS00329","10","?."
"G238584","Non-Essential","Transcription factors","Intracellular transport complexes","Conditional phenotypes","PS00028","8","?."
"G234365","Essential","Ubiquitin-system proteins","Mitochondrial translocase complex","Cell morphology and organelle mutants","PS01159","5","?."
"G234573","Essential","Molecular chaperones","Translocon","Cell morphology and organelle mutants","PS00017","10","?."
"G239060","Non-Essential","Major facilitator superfamily proteins (MFS)","Translation complexes","Conditional phenotypes","PS00017","9","?."
"G235414","Essential","ATPases","Sister chromatid cohesion regulation complex","Cell morphology and organelle mutants","PS00211","12","?."
"G238063","Essential","GTP-binding proteins","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00350","15","?."
"G240237","Non-Essential","Ubiquitin-system proteins","Intracellular transport complexes","Conditional phenotypes","PS00299","12","?."
"G236985","Essential","Other kinases","Replication complexes","Nucleic acid metabolism defects","PS00179","10","?."
"G235511","Essential","Molecular chaperones","Translocon","Cell morphology and organelle mutants","PS00329","10","?."
"G235315","Essential","ATPases","Proteasome","Conditional phenotypes","PS00690","6","?."
"G235537","Non-Essential","GTP-binding proteins","Translation complexes","Conditional phenotypes","PS00054","10","?."
"G234086","Non-Essential","Proteases","Proteases, mitochondrial","Cell morphology and organelle mutants","PS01046","2","?."
"G234485","Non-Essential","Protein Kinases","Cyclin-CDK (Cyclin-dependent kinases) complexes","Mating and sporulation defects","PS00108","8","?."
"G234365","Essential","Ubiquitin-system proteins","Mitochondrial translocase complex","Cell morphology and organelle mutants","PS01159","5","?."
"G237587","Ambiguous-Essential","Major facilitator superfamily proteins (MFS)","Translocon","Cell cycle defects","PS00174","2","?."
"G234688","Essential","ATPases","RNA processing complexes","Conditional phenotypes","PS00017","15","?."
"G238447","Non-Essential","Transcription factors","Translation complexes","Conditional phenotypes","PS00017","3","?."
"G239911","Non-Essential","GTP-binding proteins","Translocon","Conditional phenotypes","PS00599","4","?."
"G234711","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Auxotrophies, carbon and","PS00463","12","?."
"G235224","Non-Essential","Ubiquitin-system proteins","Translocon","Carbohydrate and lipid biosynthesis defects","PS00013","4","?."
"G235770","Non-Essential","Polymerases","Gim complexes","Cell morphology and organelle mutants","PS00463","14","?."
"G236066","Essential","Other kinases","Intracellular transport complexes","Cell morphology and organelle mutants","PS00952","2","?."
"G235001","Non-Essential","Protein Kinases","Cyclin-CDK (Cyclin-dependent kinases) complexes","Auxotrophies, carbon and","PS00108","16","?."
"G235232","Non-Essential","Ubiquitin-system proteins","Alpha, alpha-trehalose-phosphate synthase","Conditional phenotypes","PS00299","4","?."
"G234791","Non-Essential","GTP-binding proteins","Translation complexes","Auxotrophies, carbon and","PS00017","13","?."
"G235305","Non-Essential","GTPase activating proteins (GAPs)","Transcription complexes/Transcriptosome","Sensitivity to aminoacid analogs and other drugs","PS00036","5","?."
"G234389","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Sensitivity to aminoacid analogs and other drugs","PS00036","6","?."
"G235081","Non-Essential","ATPases","Intracellular transport complexes","Mating and sporulation defects","PS00674","16","?."
"G234314","Non-Essential","Protein Kinases","Cyclin-CDK (Cyclin-dependent kinases) complexes","Auxotrophies, carbon and","PS00107","4","?."
"G235318","Non-Essential","Proteases","Isocitrate lyase","Auxotrophies, carbon and","PS00161","5","?."
"G235150","Non-Essential","Transcription factors","Translocon","Mating and sporulation defects","PS00463","2","?."
"G239399","Non-Essential","GTP-binding proteins","Translocon","Mating and sporulation defects","PS00599","4","?."
"G235567","Essential","Polymerases","Transcription complexes/Transcriptosome","Conditional phenotypes","PS01166","11","?."
"G234573","Essential","Molecular chaperones","Translocon","Cell morphology and organelle mutants","PS00297","10","?."
"G239520","Essential","Polymerases","Transcription complexes/Transcriptosome","Sensitivity to antibiotics","PS01166","2","?."
"G235121","Non-Essential","Motorproteins","Cytoskeleton","Mating and sporulation defects","PS00017","2","?."
"G235255","Essential","GTP-binding proteins","Proteasome","Cell cycle defects","PS00017","4","?."
"G235082","Essential","Polymerases","Replication complexes","Nucleic acid metabolism defects","PS00179","4","?."
"G235888","Non-Essential","Protein Kinases","Transcription complexes/Transcriptosome","Cell morphology and organelle mutants","PS00107","16","?."
"G235888","Non-Essential","ATPases","Transcription complexes/Transcriptosome","Mating and sporulation defects","PS00017","16","?."
"G234531","Non-Essential","ATPases","Transcription complexes/Transcriptosome","Nucleic acid metabolism defects","PS00017","9","?."
"G235476","Essential","Transcription factors","Anaphase promoting complex (APC)","Cell cycle defects","PS00017","8","?."
"G239364","Non-Essential","Major facilitator superfamily proteins (MFS)","RNA processing complexes","Conditional phenotypes","PS00211","11","?."
"G236523","Non-Essential","Ubiquitin-system proteins","Transcription complexes/Transcriptosome","Stress response defects","PS00633","12","?."
"G238783","Non-Essential","GTP-binding proteins","Cytoskeleton","Cell morphology and organelle mutants","PS00599","15","?."
"G235761","Non-Essential","Polymerases","Cytoskeleton","Cell morphology and organelle mutants","PS01132","14","?."
"G234612","Non-Essential","Transcription factors","Kinetochore protein complexes","Auxotrophies, carbon and","PS00038","10","?."
"G237321","Non-Essential","Transcription factors","Intracellular transport complexes","Conditional phenotypes","PS00867","7","?."
"G237154","Non-Essential","GTP-binding proteins","Translocon","Conditional phenotypes","PS00294","10","?."
"G235673","Essential","Transcription factors","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00350","13","?."
"G234651","Non-Essential","Adaptins","Intracellular transport complexes","Conditional phenotypes","PS00343","11","?."
"G234094","Non-Essential","Transcription factors","Translocon","Mating and sporulation defects","PS00463","2","?."
"G234671","Essential","Other kinases","Anaphase promoting complex (APC)","Sensitivity to immunosuppressants","PS00951","11","?."
"G235337","Essential","Ubiquitin-system proteins","RNA processing complexes","Conditional phenotypes","PS00012","5","?."
"G240200","Non-Essential","ATPases","Transcription complexes/Transcriptosome","Cell cycle defects","PS00486","13","?."
"G235305","Non-Essential","GTPase activating proteins (GAPs)","Transcription complexes/Transcriptosome","Cell morphology and organelle mutants","PS00028","5","?."
"G234433","Non-Essential","Protein Kinases","Hexokinase 2","Stress response defects","PS00107","7","?."
"G234433","Non-Essential","Protein Kinases","Intracellular transport complexes","Cell morphology and organelle mutants","PS00107","7","?."
"G234612","Non-Essential","Transcription factors","Kinetochore protein complexes","Cell morphology and organelle mutants","PS00038","10","?."
"G236021","Non-Essential","Molecular chaperones","Chaperonine containing T-complex TRiC (TCP RING Complex)","Conditional phenotypes","PS00215","4","?."
"G234226","Non-Essential","GTP-binding proteins","Intracellular transport complexes","Cell morphology and organelle mutants","PS00017","4","?."
"G234433","Non-Essential","Protein Kinases","Cyclin-CDK (Cyclin-dependent kinases) complexes","Cell morphology and organelle mutants","PS00108","7","?."
"G236279","Non-Essential","Protein Kinases","Hexokinase 2","Stress response defects","PS00188","7","?."
"G235275","Non-Essential","ATPases","Respiration chain complexes","Auxotrophies, carbon and","PS00153","4","?."
"G234215","Essential","ATPases","Chaperonine containing T-complex TRiC (TCP RING Complex)","Conditional phenotypes","PS00750","4","?."
"G235878","Non-Essential","ATPases","Intracellular transport complexes","Conditional phenotypes","PS00017","16","?."
"G234739","Essential","ATPases","Translation complexes","Cell morphology and organelle mutants","PS00211","12","?."
"G234683","Non-Essential","Major facilitator superfamily proteins (MFS)","RNA processing complexes","Conditional phenotypes","PS00387","11","?."
"G237429","Non-Essential","GTPase activating proteins (GAPs)","Transcription complexes/Transcriptosome","Sensitivity to aminoacid analogs and other drugs","PS00017","13","?."
"G234977","Non-Essential","ATPases","H+-transporting ATPase, vacuolar","Cell morphology and organelle mutants","PS00017","15","?."
"G234485","Non-Essential","Protein Kinases","Hexokinase 2","Mating and sporulation defects","PS00107","8","?."
"G235098","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Sensitivity to aminoacid analogs and other drugs","PS00036","1","?."
"G235761","Non-Essential","Cyclins","Cytoskeleton","Mating and sporulation defects","PS00227","14","?."
"G234785","Non-Essential","GTP-binding proteins","Cytoskeleton","Mating and sporulation defects","PS00227","14","?."
"G234490","Non-Essential","Transcription factors","Intracellular transport complexes","Conditional phenotypes","PS00028","8","?."
"G234773","Non-Essential","ATPases","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00017","13","?."
"G234247","Essential","Ubiquitin-system proteins","SCF (Skp1-Cdc53-F-box protein) complexes","Cell cycle defects","PS00183","4","?."
"G235511","Essential","Molecular chaperones","Translocon","Cell morphology and organelle mutants","PS00297","10","?."
"G234365","Essential","Ubiquitin-system proteins","RNA processing complexes","Sensitivity to aminoacid analogs and other drugs","PS00499","5","?."
"G239588","Non-Essential","Transcription factors","Cytoskeleton","Auxotrophies, carbon and","PS00038","10","?."
"G236279","Non-Essential","Protein Kinases","Hexokinase 2","Stress response defects","PS00188","7","?."
"G235354","Essential","ATPases","Proteasome","Conditional phenotypes","PS00854","6","?."
"G239913","Ambiguous-Non-Essential","Polymerases","Transcription complexes/Transcriptosome","Conditional phenotypes","PS01166","15","?."
"G235595","Non-Essential","GTP/GDP-exchange factors (GEFs)","Translation complexes","Auxotrophies, carbon and","PS00039","11","?."
"G236606","Non-Essential","GTP/GDP-exchange factors (GEFs)","Translation complexes","Stress response defects","PS00720","16","?."
"G235354","Essential","ATPases","Proteasome","Conditional phenotypes","PS00854","6","?."
"G234806","Non-Essential","Motorproteins","Cytoskeleton","Conditional phenotypes","PS00017","13","?."
"G235001","Non-Essential","Protein Kinases","Cyclin-CDK (Cyclin-dependent kinases) complexes","Auxotrophies, carbon and","PS00108","16","?."
"G234094","Non-Essential","Transcription factors","Translocon","Mating and sporulation defects","PS00463","2","?."
"G234534","Essential","Molecular chaperones","Mitochondrial translocase complex","Cell morphology and organelle mutants","PS00017","9","?."
"G235096","Essential","Polymerases","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00017","2","?."
"G234701","Non-Essential","Molecular chaperones","RNA processing complexes","Conditional phenotypes","PS00017","12","?."
"G234298","Essential","Ubiquitin-system proteins","SCF (Skp1-Cdc53-F-box protein) complexes","Cell morphology and organelle mutants","PS00865","4","?."
"G235596","Essential","Polymerases","Transcription complexes/Transcriptosome","Conditional phenotypes","PS01166","11","?."
"G235511","Essential","Molecular chaperones","Translocon","Cell morphology and organelle mutants","PS00297","10","?."
"G234086","Non-Essential","Proteases","Proteases, mitochondrial","Auxotrophies, carbon and","PS01046","2","?."
"G234612","Non-Essential","Transcription factors","Kinetochore protein complexes","Cell morphology and organelle mutants","PS00038","10","?."
"G234226","Non-Essential","GTP-binding proteins","Intracellular transport complexes","Mating and sporulation defects","PS00017","4","?."
"G234573","Essential","ATPases","Translocon","Cell morphology and organelle mutants","PS00017","10","?."
"G234701","Non-Essential","ATPases","Intracellular transport complexes","Conditional phenotypes","PS00870","12","?."
"G234573","Essential","ATPases","Translocon","Sensitivity to aminoacid analogs and other drugs","PS00329","10","?."
"G238170","Non-Essential","GTP/GDP-exchange factors (GEFs)","Translation complexes","Stress response defects","PS00720","16","?."
"G234273","Essential","ATPases","Chaperonine containing T-complex TRiC (TCP RING Complex)","Conditional phenotypes","PS00750","4","?."
"G234485","Non-Essential","Protein Kinases","Transcription complexes/Transcriptosome","Cell morphology and organelle mutants","PS00107","8","?."
"G239847","Non-Essential","Ubiquitin-system proteins","Translocon","Cell morphology and organelle mutants","PS00633","13","?."
"G240380","Non-Essential","Transcription factors","Intracellular transport complexes","Conditional phenotypes","PS00187","12","?."
"G234847","Non-Essential","Cyclins","Cyclin-CDK (Cyclin-dependent kinases) complexes","Cell cycle defects","PS00108","14","?."
"G237747","Non-Essential","Transcription factors","Intracellular transport complexes","Conditional phenotypes","PS00867","7","?."
"G234704","Non-Essential","Ubiquitin-system proteins","Transcription complexes/Transcriptosome","Mating and sporulation defects","PS00299","12","?."
"G235055","Essential","Cyclins","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00350","16","?."
"G234423","Essential","GTP/GDP-exchange factors (GEFs)","Proteasome","Cell morphology and organelle mutants","PS00625","7","?."
"G235081","Non-Essential","ATPases","Intracellular transport complexes","Mating and sporulation defects","PS00017","16","?."
"G235319","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Mating and sporulation defects","PS00463","5","?."
"G234175","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Cell morphology and organelle mutants","PS00735","3","?."
"G235081","Non-Essential","ATPases","Intracellular transport complexes","Cell morphology and organelle mutants","PS00674","16","?."
"G238048","Non-Essential","Molecular chaperones","Respiration chain complexes","Auxotrophies, carbon and","PS01183","6","?."
"G238375","Non-Essential","Ubiquitin-system proteins","Translocon","Stress response defects","PS00028","4","?."
"G235220","Essential","Ubiquitin-system proteins","Intracellular transport complexes","Cell morphology and organelle mutants","PS00402","4","?."
"G235794","Non-Essential","Cyclins","Histone deacetylase complexes","Nucleic acid metabolism defects","PS00017","14","?."
"G239060","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Auxotrophies, carbon and","PS00463","12","?."
"G235893","Non-Essential","Cyclins","RNA processing complexes","Cell cycle defects","PS00108","16","?."
"G234834","Non-Essential","Ubiquitin-system proteins","RNA processing complexes","Auxotrophies, carbon and","PS00583","13","?."
"G234389","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Auxotrophies, carbon and","PS00036","6","?."
"G235507","Essential","Actins","Cytoskeleton","Cell cycle defects","PS00018","9","?."
"G234579","Non-Essential","Transcription factors","Cytoskeleton","Conditional phenotypes","PS00463","10","?."
"G234226","Non-Essential","GTP-binding proteins","Intracellular transport complexes","Cell morphology and organelle mutants","PS01019","4","?."
"G235108","Essential","Polymerases","Transcription complexes/Transcriptosome","Conditional phenotypes","PS01166","2","?."
"G235033","Essential","Protein Kinases","Casein kinase","Nucleic acid metabolism defects","PS00108","16","?."
"G234385","Non-Essential","Molecular chaperones","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00190","6","?."
"G236985","Essential","Other kinases","Replication complexes","Nucleic acid metabolism defects","PS00116","10","?."
"G234739","Essential","ATPases","Translation complexes","Sensitivity to antibiotics","PS00211","12","?."
"G234365","Essential","Ubiquitin-system proteins","Replication complexes","Cell morphology and organelle mutants","PS00499","5","?."
"G234794","Non-Essential","Proteases","Proteases, mitochondrial","Nucleic acid metabolism defects","PS00501","13","?."
"G235794","Non-Essential","Cyclins","Transcription complexes/Transcriptosome","Mating and sporulation defects","PS00463","14","?."
"G235356","Essential","Polymerases","Translocon","Conditional phenotypes","PS00017","7","?."
"G234485","Non-Essential","Protein Kinases","Cyclin-CDK (Cyclin-dependent kinases) complexes","Cell morphology and organelle mutants","PS00107","8","?."
"G234743","Non-Essential","Protein phosphatases","Synaptonemal complex (SC)","Mating and sporulation defects","PS00299","12","?."
"G234615","Essential","Actin related proteins","Intracellular transport complexes","Stress response defects","PS01132","10","?."
"G234683","Non-Essential","Major facilitator superfamily proteins (MFS)","RNA processing complexes","Conditional phenotypes","PS00637","11","?."
"G238809","Non-Essential","Transcription factors","Assembly complexes","Nucleic acid metabolism defects","PS00633","8","?."
"G235488","Essential","Ubiquitin-system proteins","SCF (Skp1-Cdc53-F-box protein) complexes","Stress response defects","PS00678","9","?."
"G234226","Non-Essential","GTP-binding proteins","Intracellular transport complexes","Mating and sporulation defects","PS01019","4","?."
"G234365","Essential","Ubiquitin-system proteins","RNA processing complexes","Conditional phenotypes","PS00499","5","?."
"G234750","Essential","GTP-binding proteins","Cyclin-CDK (Cyclin-dependent kinases) complexes","Conditional phenotypes","PS00017","12","?."
"G235882","Essential","Cyclins","Intracellular transport complexes","Nucleic acid metabolism defects","PS00343","16","?."
"G234249","Non-Essential","Proteases","Proteasome","Cell cycle defects","PS00972","4","?."
"G235878","Non-Essential","ATPases","Intracellular transport complexes","Conditional phenotypes","PS00017","16","?."
"G234701","Non-Essential","ATPases","RNA processing complexes","Conditional phenotypes","PS00017","12","?."
"G234267","Essential","GTP-binding proteins","Translation complexes","Cell morphology and organelle mutants","PS00017","4","?."
"G235224","Non-Essential","Ubiquitin-system proteins","Translocon","Carbohydrate and lipid biosynthesis defects","PS00013","4","?."
"G235305","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Carbohydrate and lipid biosynthesis defects","PS00038","5","?."
"G234442","Non-Essential","Motorproteins","Cytoskeleton","Cell cycle defects","PS00017","7","?."
"G235909","Essential","ATPases","Replication complexes","Cell cycle defects","PS00847","16","?."
"G235818","Non-Essential","GTP-binding proteins","Histone acetyltransferase complexes","Mating and sporulation defects","PS00017","15","?."
"G234175","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Mating and sporulation defects","PS00735","3","?."
"G240237","Non-Essential","Ubiquitin-system proteins","Intracellular transport complexes","Conditional phenotypes","PS00299","12","?."
"G235001","Non-Essential","Protein Kinases","Cyclin-CDK (Cyclin-dependent kinases) complexes","Mating and sporulation defects","PS00108","16","?."
"G234739","Essential","ATPases","Translation complexes","Cell morphology and organelle mutants","PS00211","12","?."
"G234249","Non-Essential","Ubiquitin-system proteins","Proteasome","Cell cycle defects","PS00973","4","?."
"G235097","Non-Essential","GTP-binding proteins","Nem1p-Spo7p complex","Conditional phenotypes","PS00294","1","?."
"G234633","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00463","11","?."
"G234728","Ambiguous-Essential","Ubiquitin-system proteins","Translation complexes","Stress response defects","PS00299","12","?."
"G234798","Essential","Transcription factors","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00350","13","?."
"G234671","Essential","Other kinases","Anaphase promoting complex (APC)","Sensitivity to immunosuppressants","PS00952","11","?."
"G237321","Non-Essential","Transcription factors","Intracellular transport complexes","Conditional phenotypes","PS00402","7","?."
"G234414","Non-Essential","Transcription factors","Assembly complexes","Nucleic acid metabolism defects","PS00687","7","?."
"G235232","Non-Essential","GTP-binding proteins","Alpha, alpha-trehalose-phosphate synthase","Conditional phenotypes","PS00017","4","?."
"G238783","Non-Essential","Transcription factors","Assembly complexes","Nucleic acid metabolism defects","PS00633","16","?."
"G234414","Non-Essential","Transcription factors","Assembly complexes","Nucleic acid metabolism defects","PS00028","7","?."
"G234813","Non-Essential","Proteases","Proteases, mitochondrial","Stress response defects","PS00501","13","?."
"G234701","Non-Essential","ATPases","RNA processing complexes","Conditional phenotypes","PS00017","12","?."
"G235882","Essential","Cyclins","Intracellular transport complexes","Nucleic acid metabolism defects","PS00343","16","?."
"G235362","Essential","ATPases","RNA processing complexes","Conditional phenotypes","PS00678","15","?."
"G234389","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Sensitivity to antibiotics","PS00036","6","?."
"G235538","Essential","Molecular chaperones","Replication complexes","Cell morphology and organelle mutants","PS00297","10","?."
"G234951","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Cell morphology and organelle mutants","PS00434","15","?."
"G234179","Non-Essential","Transcription factors","Translation complexes","Conditional phenotypes","PS00017","3","?."
"G239304","Non-Essential","Protein Kinases","Hexokinase 2","Mating and sporulation defects","PS00225","10","?."
"G236812","Essential","Transcription factors","Translocon","Sensitivity to aminoacid analogs and other drugs","PS00017","7","?."
"G234203","Essential","Polymerases","Replication complexes","Nucleic acid metabolism defects","PS00116","4","?."
"G235476","Essential","Polymerases","Anaphase promoting complex (APC)","Conditional phenotypes","PS01166","8","?."
"G239520","Essential","Polymerases","Transcription complexes/Transcriptosome","Sensitivity to antibiotics","PS01166","2","?."
"G235901","Non-Essential","GTP-binding proteins","Cytoskeleton","Cell morphology and organelle mutants","PS00599","15","?."
"G240296","Essential","ATPases","Respiration chain complexes","Auxotrophies, carbon and","PS00379","4","?."
"G235098","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Sensitivity to aminoacid analogs and other drugs","PS00036","1","?."
"G234573","Essential","ATPases","Translocon","Sensitivity to aminoacid analogs and other drugs","PS00017","10","?."
"G235818","Non-Essential","Cyclins","Transcription complexes/Transcriptosome","Auxotrophies, carbon and","PS00480","15","?."
"G235055","Essential","Cyclins","Cyclin-CDK (Cyclin-dependent kinases) complexes","Cell cycle defects","PS00343","16","?."
"G238375","Non-Essential","Ubiquitin-system proteins","Translocon","Stress response defects","PS00028","4","?."
"G237126","Essential","Ubiquitin-system proteins","Replication complexes","Cell morphology and organelle mutants","PS00678","4","?."
"G234215","Essential","Molecular chaperones","Chaperonine containing T-complex TRiC (TCP RING Complex)","Conditional phenotypes","PS00750","4","?."
"G234785","Non-Essential","GTP-binding proteins","Cytoskeleton","Cell morphology and organelle mutants","PS00227","15","?."
"G235589","Non-Essential","GTP/GDP-exchange factors (GEFs)","Translation complexes","Auxotrophies, carbon and","PS00120","11","?."
"G235150","Non-Essential","Major facilitator superfamily proteins (MFS)","Translocon","Conditional phenotypes","PS00218","2","?."
"G234226","Non-Essential","GTP-binding proteins","Intracellular transport complexes","Cell morphology and organelle mutants","PS01019","4","?."
"G235094","Non-Essential","ATPases","Respiration chain complexes","Auxotrophies, carbon and","PS00078","4","?."
"G238132","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Cell morphology and organelle mutants","PS00028","16","?."
"G235376","Non-Essential","Motorproteins","Translation complexes","Conditional phenotypes","PS01199","7","?."
"G234147","Essential","Polymerases","Transcription complexes/Transcriptosome","Conditional phenotypes","PS01166","2","?."
"G234249","Non-Essential","Proteases","Proteasome","Cell cycle defects","PS00973","4","?."
"G239938","Non-Essential","ATPases","Transcription complexes/Transcriptosome","Cell morphology and organelle mutants","PS00037","13","?."
"G237124","Essential","Transcription factors","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00350","13","?."
"G235795","Non-Essential","Cyclins","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00294","14","?."
"G235587","Non-Essential","Major facilitator superfamily proteins (MFS)","RNA processing complexes","Conditional phenotypes","PS00637","11","?."
"G234881","Essential","Polymerases","Replication complexes","Nucleic acid metabolism defects","PS00116","14","?."
"G234794","Non-Essential","Proteases","Proteases, mitochondrial","Stress response defects","PS00761","13","?."
"G234419","Essential","Transcription factors","Intracellular transport complexes","Cell morphology and organelle mutants","PS00434","7","?."
"G235176","Non-Essential","Transcription factors","Translation complexes","Cell morphology and organelle mutants","PS00054","3","?."
"G234140","Non-Essential","ATPases","Transcription complexes/Transcriptosome","Nucleic acid metabolism defects","PS00017","2","?."
"G235325","Non-Essential","GTPase activating proteins (GAPs)","Transcription complexes/Transcriptosome","Cell cycle defects","PS00017","5","?."
"G236985","Essential","Ubiquitin-system proteins","Replication complexes","Cell cycle defects","PS00017","10","?."
"G235679","Essential","Nucleases","RNA processing complexes","Nucleic acid metabolism defects","PS00037","12","?."
"G234394","Essential","Actins","Cytoskeleton","Cell morphology and organelle mutants","PS00432","6","?."
"G235783","Non-Essential","Cyclins","Transcription complexes/Transcriptosome","Nucleic acid metabolism defects","PS00017","14","?."
"G237358","Non-Essential","Transcription factors","Translation complexes","Conditional phenotypes","PS00017","3","?."
"G240407","Non-Essential","Ubiquitin-system proteins","Translation complexes","Stress response defects","PS00557","13","?."
"G234423","Essential","GTP/GDP-exchange factors (GEFs)","Proteasome","Cell morphology and organelle mutants","PS00626","7","?."
"G235668","Non-Essential","GTP/GDP-exchange factors (GEFs)","Translation complexes","Cell morphology and organelle mutants","PS00120","11","?."
"G234794","Non-Essential","Proteases","Proteases, mitochondrial","Stress response defects","PS00761","13","?."
"G234794","Non-Essential","Proteases","Proteases, mitochondrial","Nucleic acid metabolism defects","PS00761","13","?."
"G235595","Non-Essential","GTP/GDP-exchange factors (GEFs)","Translation complexes","Auxotrophies, carbon and","PS00017","4","?."
"G235232","Non-Essential","GTP-binding proteins","Alpha, alpha-trehalose-phosphate synthase","Conditional phenotypes","PS00017","4","?."
"G235232","Non-Essential","Ubiquitin-system proteins","Alpha, alpha-trehalose-phosphate synthase","Conditional phenotypes","PS00017","4","?."
"G236523","Non-Essential","Ubiquitin-system proteins","Respiration chain complexes","Auxotrophies, carbon and","PS00633","12","?."
"G235875","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Nucleic acid metabolism defects","PS00028","16","?."
"G240440","Non-Essential","Ubiquitin-system proteins","Translocon","Carbohydrate and lipid biosynthesis defects","PS00013","4","?."
"G239520","Essential","Polymerases","Transcription complexes/Transcriptosome","Sensitivity to antibiotics","PS01166","2","?."
"G240185","Essential","GTP-binding proteins","RNA processing complexes","Conditional phenotypes","PS00017","2","?."
"G236523","Non-Essential","Ubiquitin-system proteins","Intracellular transport complexes","Conditional phenotypes","PS00633","12","?."
"G234249","Non-Essential","Proteases","Proteasome","Cell cycle defects","PS00972","4","?."
"G234837","Non-Essential","Nucleases","RNA processing complexes","Cell morphology and organelle mutants","PS01175","13","?."
"G236066","Essential","GTP/GDP-exchange factors (GEFs)","Proteasome","Cell morphology and organelle mutants","PS00952","2","?."
"G235224","Non-Essential","Ubiquitin-system proteins","Translocon","Sensitivity to antibiotics","PS00297","4","?."
"G235493","Essential","Molecular chaperones","Exocyst complex","Cell morphology and organelle mutants","PS00017","9","?."
"G234485","Non-Essential","Protein Kinases","Transcription complexes/Transcriptosome","Cell morphology and organelle mutants","PS00107","8","?."
"G235402","Non-Essential","Motorproteins","Cytoskeleton","Mating and sporulation defects","PS00017","7","?."
"G235081","Non-Essential","ATPases","Intracellular transport complexes","Cell morphology and organelle mutants","PS00674","16","?."
"G235695","Non-Essential","Cyclins","Cyclin-CDK (Cyclin-dependent kinases) complexes","Conditional phenotypes","PS00108","15","?."
"G235668","Non-Essential","GTP/GDP-exchange factors (GEFs)","Translation complexes","Auxotrophies, carbon and","PS00120","11","?."
"G235305","Non-Essential","GTPase activating proteins (GAPs)","Transcription complexes/Transcriptosome","Cell morphology and organelle mutants","PS00463","5","?."
"G234062","Non-Essential","ATPases","Respiration chain complexes","Auxotrophies, carbon and","PS00152","4","?."
"G234739","Essential","ATPases","Translation complexes","Sensitivity to antibiotics","PS00211","12","?."
"G235097","Non-Essential","GTP-binding proteins","Nem1p-Spo7p complex","Conditional phenotypes","PS00294","1","?."
"G235507","Essential","Molecular chaperones","Cytoskeleton","Cell morphology and organelle mutants","PS00018","9","?."
"G235208","Non-Essential","GTP/GDP-exchange factors (GEFs)","Translation complexes","Auxotrophies, carbon and","PS00017","4","?."
"G235150","Non-Essential","Major facilitator superfamily proteins (MFS)","Translocon","Conditional phenotypes","PS00218","2","?."
"G235081","Non-Essential","ATPases","Intracellular transport complexes","Cell morphology and organelle mutants","PS00674","16","?."
"G235098","Non-Essential","Cyclins","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00037","1","?."
"G235752","Non-Essential","Cyclins","Histone deacetylase complexes","Nucleic acid metabolism defects","PS00017","14","?."
